,year,date,all_2534,HS_2534,SC_2534,BAp_2534,BAo_2534,GD_2534,White_2534,Black_2534,Hisp_2534,NE_2534,MA_2534,Midwest_2534,South_2534,Mountain_2534,Pacific_2534,poor_2534,mid_2534,rich_2534,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,White_3544,Black_3544,Hisp_3544,NE_3544,MA_3544,Midwest_3544,South_3544,Mountain_3544,Pacific_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,White_4554,Black_4554,Hisp_4554,NE_4554,MA_4554,Midwest_4554,South_4554,Mountain_4554,Pacific_4554,poor_4554,mid_4554,rich_4554,nokids_all_2534,kids_all_2534,nokids_HS_2534,nokids_SC_2534,nokids_BAp_2534,nokids_BAo_2534,nokids_GD_2534,kids_HS_2534,kids_SC_2534,kids_BAp_2534,kids_BAo_2534,kids_GD_2534,nokids_poor_2534,nokids_mid_2534,nokids_rich_2534,kids_poor_2534,kids_mid_2534,kids_rich_2534
1,1960,1/1/1960,0.876685526,0.890466836,0.847718223,0.7610047719999999,0.7610047719999999,0.652549484,0.883515173,0.8378144949999999,0.860626358,0.8495816190000001,0.837106622,0.887853299,0.890943819,0.908478829,0.880124201,0.8628402550000001,0.92485071,0.793322442,0.929418433,0.931396908,0.9333630509999999,0.867373529,0.867373529,0.867198188,0.9317441399999999,0.911632716,0.926923492,0.908056784,0.906525324,0.931366403,0.939736473,0.952602527,0.941775144,0.898025074,0.952827282,0.914461301,0.927453507,0.931592085,0.920962453,0.846391115,0.846391115,0.916051141,0.92753308,0.93086751,0.933639421,0.897635882,0.907352117,0.927146793,0.940227051,0.952458167,0.940030073,0.896994457,0.94635579,0.920914093,0.535943615,0.997179375,0.556985171,0.49995979,0.43809005300000003,0.43809005300000003,1,0.996681114,0.998849176,0.999424893,0.999424893,1,0.5066939189999999,0.589992015,0.507881577,0.991277289,0.999246794,0.999197267
2,1970,1/1/1970,0.87302853,0.890599976,0.850490426,0.781296903,0.781296903,0.652549484,0.882095721,0.814483692,0.870123137,0.848276859,0.835931963,0.884625942,0.88737802,0.897063984,0.862503597,0.828279762,0.918407932,0.827590682,0.932674796,0.934880363,0.937282757,0.88831012,0.88831012,0.867198188,0.937496277,0.897090963,0.929294996,0.914298897,0.909592751,0.93843728,0.940339434,0.953488372,0.9365220400000001,0.88824521,0.954331616,0.935008407,0.940312058,0.941665614,0.94556522,0.895339534,0.895339534,0.916051141,0.942452012,0.921008323,0.941892598,0.919719181,0.921393646,0.942088367,0.948255378,0.960298657,0.951736879,0.898351112,0.95778363,0.948571329,0.56909566,0.990131404,0.575322101,0.5666520930000001,0.5445233979999999,0.5445233979999999,1,0.987534085,0.996300018,0.998531657,0.998531657,1,0.490225767,0.623546231,0.5711051739999999,0.970025055,0.996622885,0.996956434
3,1980,1/1/1980,0.800823259,0.838268656,0.776308374,0.71183538,0.71183538,0.652549484,0.8175874439999999,0.686249958,0.8114559610000001,0.758567258,0.7494074980000001,0.817166124,0.831156457,0.8256576959999999,0.7665721,0.689940903,0.851746966,0.814891845,0.931166224,0.935708982,0.934686665,0.89438979,0.89438979,0.867198188,0.940332611,0.8685991909999999,0.918892098,0.920026774,0.9025557200000001,0.939293591,0.940859106,0.951199234,0.924474622,0.870857433,0.949496788,0.955540495,0.947491285,0.949634371,0.9518382,0.913762256,0.913762256,0.916051141,0.952346459,0.913753984,0.934770489,0.930697468,0.92491534,0.951927097,0.955146517,0.966255616,0.950410079,0.899698903,0.961697344,0.966887044,0.553569609,0.974714333,0.5680657570000001,0.549410046,0.528030038,0.528030038,1,0.968069248,0.981864599,0.993745564,0.993745564,1,0.425959789,0.6001750299999999,0.6151910890000001,0.922073786,0.989763113,0.993168278
4,1990,1/1/1990,0.70316941,0.722250865,0.721908835,0.6387032109999999,0.634334536,0.652549484,0.736074408,0.516144417,0.7037627630000001,0.6499615999999999,0.637667949,0.724495431,0.736020567,0.747356743,0.668042135,0.580089222,0.756799918,0.7216774340000001,0.888081997,0.887899573,0.903006277,0.871482772,0.874143256,0.867198188,0.9038868840000001,0.779897021,0.878057941,0.872140846,0.856450114,0.89842424,0.903629649,0.908100963,0.868653621,0.798779184,0.909752606,0.934260836,0.940521762,0.940117558,0.953459129,0.926981156,0.935834713,0.916051141,0.949074481,0.8838230069999999,0.923864442,0.9295249839999999,0.916268658,0.946016093,0.949563636,0.955405886,0.935381251,0.88516653,0.954376684,0.968636143,0.45747575799999995,0.939722549,0.453511922,0.476155358,0.443923521,0.43666991,0.46673720100000005,0.921529556,0.947967298,0.982875896,0.981823397,0.986257658,0.34530920499999995,0.48133961999999997,0.524984372,0.829236226,0.972534475,0.981767087
5,2000,1/1/2000,0.6549912760000001,0.668345458,0.6750795,0.6125094360000001,0.606042066,0.630826008,0.6872851449999999,0.48550059700000003,0.681931877,0.590814826,0.5824434519999999,0.669197771,0.69002881,0.693789682,0.624693924,0.49663235400000005,0.697979636,0.728261395,0.843941195,0.830062967,0.8619959580000001,0.845876184,0.846370137,0.844902982,0.867929679,0.6976061920000001,0.845304803,0.826725778,0.811807436,0.85460799,0.8576940040000001,0.864158061,0.825199531,0.718686297,0.871842492,0.9137795360000001,0.911956056,0.905571911,0.924412144,0.907915831,0.9090252759999999,0.906371976,0.92421826,0.824126655,0.905819912,0.897678296,0.887303413,0.916975627,0.923681415,0.923622262,0.901031684,0.828102413,0.929443283,0.961026577,0.42854693200000005,0.900527287,0.428860538,0.42999576100000003,0.42703230999999997,0.413778679,0.46328404599999995,0.872806423,0.90237469,0.962997555,0.959899013,0.972385332,0.294454907,0.43097724000000004,0.55419772,0.743718082,0.940215483,0.97043553
6,2001,1/1/2001,0.6472232929999999,0.655393107,0.6658898600000001,0.6164313530000001,0.607485159,0.6409696229999999,0.681649417,0.45620153799999996,0.66787861,0.579941872,0.570571851,0.6655667949999999,0.681731219,0.690192211,0.615520114,0.48212285899999996,0.682838819,0.746795851,0.843574711,0.8312984370000001,0.860139558,0.845184938,0.847507709,0.84048313,0.86712545,0.691422038,0.850469496,0.833465027,0.8168489130000001,0.85205593,0.856874083,0.860561799,0.823051357,0.708088842,0.867323751,0.93196717,0.91176658,0.908109928,0.922045191,0.906666351,0.906865202,0.9063712429999999,0.924830881,0.8184546930000001,0.905901036,0.901315921,0.890463649,0.917923707,0.921134875,0.92594029,0.89880489,0.824063083,0.925924918,0.971426801,0.41477872800000004,0.889821533,0.3954525,0.41890882399999996,0.43013558399999996,0.413503305,0.474120039,0.858604348,0.889969338,0.960019855,0.955416199,0.973549589,0.285266602,0.41352593699999995,0.5538889220000001,0.719853512,0.932204543,0.96634595
7,2002,1/1/2002,0.646475072,0.650963349,0.663840463,0.622567205,0.612916021,0.648715172,0.680330935,0.45960240799999996,0.668738729,0.592195579,0.570947114,0.6602958560000001,0.67697244,0.703134312,0.61630783,0.48257476499999996,0.681759591,0.74652756,0.840323703,0.830363916,0.854484093,0.840723596,0.840100788,0.841990487,0.865704841,0.690302074,0.835540832,0.821011618,0.806170725,0.852292803,0.8553890630000001,0.865755095,0.817200646,0.709570036,0.862767744,0.928465612,0.907153063,0.903561458,0.916931318,0.902253686,0.9046187569999999,0.898733726,0.920186828,0.809831194,0.906448374,0.885862087,0.884679976,0.913556341,0.917950249,0.92561925,0.893247937,0.817111127,0.92157209,0.969180318,0.41433553999999995,0.885726991,0.38861975800000004,0.420243134,0.434440441,0.419621158,0.47381079699999995,0.857603631,0.877024588,0.959860559,0.954384445,0.975234774,0.28153264200000006,0.41716518,0.548578827,0.714113539,0.928615241,0.967907371
8,2003,1/1/2003,0.637965493,0.6418123099999999,0.658107048,0.6126194119999999,0.599996085,0.646186952,0.6743187900000001,0.443104611,0.65824874,0.568808201,0.552007789,0.652429126,0.674986079,0.689281137,0.605309761,0.47027211599999996,0.6717682469999999,0.748393562,0.839100729,0.825829914,0.85274912,0.8445893529999999,0.8448205,0.844130306,0.8645265719999999,0.6773580260000001,0.84779508,0.824804242,0.805514558,0.850607146,0.85063174,0.870556222,0.82033281,0.703231379,0.862083462,0.930509952,0.903026925,0.897605811,0.912070428,0.9013763340000001,0.89939609,0.904414593,0.917545305,0.793526288,0.902887354,0.895348267,0.876009968,0.909358637,0.912765727,0.922040135,0.891406026,0.80570378,0.918854757,0.968922404,0.40428520199999995,0.882448651,0.381536538,0.410108382,0.42166321799999995,0.40616760799999996,0.46319481900000004,0.851561376,0.878432187,0.953434031,0.948017243,0.967637877,0.27309150800000004,0.404039323,0.547967557,0.707387212,0.924053659,0.97062938
9,2004,1/1/2004,0.63267529,0.629189775,0.654925153,0.615264262,0.602387586,0.648227063,0.6693717,0.42759848899999997,0.651421069,0.550914607,0.55059843,0.6476197969999999,0.665847257,0.689211386,0.602784691,0.46324181499999995,0.6643872639999999,0.74774553,0.834840587,0.817641458,0.850671297,0.843673321,0.842687732,0.845636882,0.861634997,0.681094431,0.830441413,0.815853512,0.804211688,0.849848946,0.845860744,0.852526898,0.816479325,0.690654271,0.858641862,0.931688312,0.898776847,0.892115338,0.910364775,0.896421206,0.896703499,0.895974575,0.913546327,0.7922899409999999,0.898792412,0.886157558,0.87202559,0.903789783,0.910968353,0.911829964,0.886939249,0.798652089,0.914231316,0.968107351,0.39961750799999995,0.876118973,0.37260912999999996,0.401538496,0.423026735,0.40357984300000005,0.47211726,0.835857873,0.879034417,0.952436324,0.947325801,0.965846301,0.2672839,0.400243657,0.5435856569999999,0.6939203199999999,0.919647921,0.967373769
10,2005,1/1/2005,0.620654862,0.612931969,0.640333735,0.611390351,0.597088389,0.6485749270000001,0.656124107,0.42482690199999995,0.641045623,0.549028114,0.536149192,0.637519543,0.65261793,0.658722296,0.596119268,0.448077642,0.652331709,0.7379547799999999,0.831404567,0.813023629,0.8451021830000001,0.843641094,0.842126938,0.846529728,0.856069561,0.67680796,0.834402197,0.811284298,0.797806146,0.845941609,0.845274845,0.846265297,0.810464573,0.6890396489999999,0.85220576,0.9325153,0.893372985,0.885159384,0.904911314,0.893252536,0.893372266,0.893063558,0.909330123,0.780839402,0.893584614,0.8881681770000001,0.87011365,0.898087161,0.902326043,0.908669995,0.882453438,0.785778128,0.909634848,0.968567875,0.38986925299999997,0.870464241,0.36113085899999997,0.390291535,0.417627329,0.397112531,0.47059574800000004,0.82913321,0.8700912199999999,0.954201634,0.949004192,0.967882651,0.26245083,0.391032426,0.528720748,0.676388584,0.914750993,0.9686736
