year,HS,SC,BAp,BAo,GD
1960,0.1885356640116842,0.28536156144563296,0.8212379192741021,0.8212379192741021,0.0
1970,0.1841407983832136,0.243218192689523,0.64743420044511,0.64743420044511,0.0
1980,0.2165568272438212,0.2937033465402098,0.570477181429055,0.570477181429055,0.0
1990,0.35025842446739497,0.3537886803391026,0.5486073269412791,0.5132603996865115,0.6089465498185149
2000,0.4891517663304863,0.4621053662976782,0.5967845232545109,0.5787003144967248,0.62961813746784
2001,0.5097648842554378,0.48074339833804947,0.593777687380614,0.5793962239589161,0.620174534796596
2002,0.5196866090964559,0.4938858119758573,0.598849728141992,0.5884488993509276,0.612323063172324
2003,0.5442675716192645,0.4994847273227261,0.602364234243013,0.5925828065664315,0.6191770268542779
2004,0.5711526569552539,0.5127435240105199,0.5995318934877609,0.5878740145595089,0.619152824533366
2005,0.5939058662956671,0.5357463622753796,0.615449431477944,0.605707907824037,0.629654808701082
2006,0.662302149030223,0.5785268156778499,0.654898480860062,0.6536330944117911,0.652018205433424
2007,0.6826816528098281,0.6096949069956574,0.658213364334801,0.656252083788851,0.655892630131172
2008,0.714953252338576,0.6306853689429166,0.6709489567774569,0.6667884005629241,0.674055528880357
2009,0.747718319793501,0.6646654868628841,0.691962471988806,0.694537043190277,0.6803174940054679
2010,0.76960621568144,0.6825642470200359,0.696614675128171,0.697355580523647,0.690280653819242
2011,0.801626755115783,0.7064008952262409,0.710162258883686,0.719910865528216,0.686092564912089
2012,0.821619151903869,0.723668880705214,0.714371074527641,0.7239484359626911,0.6904216904679009
